treatment_type,avg_revenue,treatment_count,cluster,High_Value_Treatment
everyone,3483.58,1,2,0
everything,4157.253333333333,3,0,0
exactly,1350.92,1,2,0
example,3681.74,1,2,0
exist,4456.066666666667,3,0,0
experience,1961.05,1,2,0
expert,5018.6033333333335,3,0,0
face,2893.925,2,2,0
factor,5506.650000000001,3,0,0
fall,7266.219999999999,1,1,1
family,5656.45,1,1,1
far,4844.53,1,2,0
fast,8269.35,1,1,1
fear,6163.48,1,1,1
federal,2657.78,1,2,0
feel,4982.570000000001,3,0,0
feeling,3914.75,1,2,0
field,5716.07,1,1,1
fight,6531.34,1,1,1
figure,7621.69,1,1,1
fill,6075.496666666666,3,0,0
film,9316.81,1,1,1
finally,5734.48,2,0,0
find,4040.64,3,0,0
finish,7146.105,2,1,1
firm,7536.370000000001,1,1,1
fish,6001.92,1,1,1
fly,3011.945,2,2,0
follow,5340.870000000001,1,2,0
for,6841.0,1,1,1
force,7622.735000000001,2,1,1
foreign,2690.32,1,2,0
four,8170.110000000001,1,1,1
from,4105.09,1,2,0
front,2525.55,1,2,0
fund,4852.2625,4,0,0
game,7174.370000000001,1,1,1
garden,5762.5599999999995,2,0,0
gas,4957.405000000001,2,0,0
general,4447.599999999999,3,0,0
generation,4407.49,2,0,0
give,3207.045,2,2,0
glass,4394.91,1,2,0
great,4809.365,2,0,0
green,5367.66,1,2,0
ground,2289.53,2,2,0
grow,2348.66,1,2,0
growth,5215.7,1,2,0
guess,6315.285,2,0,0
gun,2485.1549999999997,2,2,0
guy,3245.29,1,2,0
half,5260.45,2,0,0
hand,6837.48,1,1,1
happen,4708.285,2,0,0
happy,6664.344999999999,2,1,1
have,3889.2533333333336,3,0,0
he,8590.529999999999,1,1,1
head,8725.26,1,1,1
health,5331.9,2,0,0
hear,2726.405,2,2,0
heart,5179.32,2,0,0
heavy,3966.72,1,2,0
here,4078.18,1,2,0
herself,7488.870000000001,1,1,1
him,8325.91,1,1,1
himself,4418.17,2,0,0
his,5227.650000000001,1,2,0
history,7325.71,1,1,1
hit,2140.9,1,2,0
home,5765.375,2,0,0
hot,7321.309999999999,1,1,1
hour,5134.11,1,2,0
house,9224.39,1,1,1
how,6425.16,1,1,1
however,6215.15,1,1,1
huge,4735.213333333333,3,0,0
hundred,2787.3633333333332,3,0,0
husband,7830.92,1,1,1
idea,2621.87,3,0,0
image,5606.17,1,1,1
imagine,6665.870000000001,1,1,1
impact,7475.75,1,1,1
important,6075.09,1,1,1
include,7178.15,1,1,1
including,5326.8175,4,0,0
individual,5692.52,2,0,0
industry,4665.0650000000005,2,0,0
information,5856.02,2,0,0
inside,6618.120000000001,1,1,1
institution,4076.06,1,2,0
interview,4671.54,1,2,0
into,6364.450000000001,1,1,1
investment,2450.44,1,2,0
involve,2366.29,1,2,0
issue,8668.0,1,1,1
its,4401.094999999999,2,0,0
itself,5233.515,2,0,0
join,2691.9166666666665,3,0,0
just,6532.3575,4,0,0
kitchen,5176.31,1,2,0
knowledge,5529.965,2,0,0
language,5661.34,1,1,1
large,4141.64,1,2,0
last,6454.12,1,1,1
late,4792.57,2,0,0
later,5296.88,1,2,0
law,6866.39,1,1,1
lawyer,6735.860000000001,1,1,1
lead,3372.03,1,2,0
leader,2203.71,1,2,0
least,5082.79,1,2,0
leave,2748.9300000000003,1,2,0
let,2696.59,1,2,0
letter,5349.8,1,2,0
level,5200.67,1,2,0
light,3404.16,2,2,0
line,4824.155,2,0,0
listen,5664.259999999999,1,1,1
little,8041.34,1,1,1
live,4420.9800000000005,2,0,0
local,5439.7925,4,0,0
long,6188.98,1,1,1
look,5551.9400000000005,2,0,0
loss,2527.565,2,2,0
lot,2723.61,1,2,0
low,8356.415,2,1,1
machine,6178.6900000000005,1,1,1
major,3038.83,1,2,0
majority,6889.4800000000005,1,1,1
make,4390.56,1,2,0
man,8531.460000000001,1,1,1
manage,5320.785,4,0,0
management,3797.16,2,2,0
many,7384.68,1,1,1
marriage,4888.63,2,0,0
material,5561.536666666667,3,0,0
may,6738.46,3,0,0
maybe,5947.723333333332,3,0,0
medical,4853.12,1,2,0
meet,4286.240000000001,2,0,0
member,5421.766666666666,3,0,0
message,5259.6,1,2,0
method,5574.7,1,1,1
middle,2098.52,1,2,0
might,4149.1449999999995,2,0,0
military,4722.35,2,0,0
minute,4192.42,3,0,0
mission,6881.32,1,1,1
moment,5006.47,3,0,0
more,6846.46,1,1,1
morning,4882.48,1,2,0
mouth,7621.34,1,1,1
must,5310.429999999999,1,2,0
my,4661.46,1,2,0
myself,4903.139999999999,2,0,0
national,6814.09,2,1,1
natural,2840.2,1,2,0
nature,4525.8,1,2,0
near,6248.095,2,0,0
nearly,3684.17,2,2,0
network,4392.525000000001,2,0,0
never,4013.49,1,2,0
news,4156.975,2,0,0
next,5562.22,1,1,1
nice,5795.51,2,0,0
night,7017.629999999999,1,1,1
no,4080.88,1,2,0
none,6672.1,1,1,1
nor,5358.71,1,2,0
north,4387.236666666667,3,0,0
not,6785.860000000001,1,1,1
note,3673.72,1,2,0
now,7209.559999999999,1,1,1
number,5736.83,2,0,0
occur,5557.88,1,1,1
of,5741.275,2,0,0
offer,7008.7,1,1,1
office,6081.5,1,1,1
officer,6067.703333333334,3,0,0
official,2556.82,1,2,0
oil,3987.6949999999997,2,0,0
ok,3529.805,2,2,0
old,5526.6,1,1,1
once,7620.17,1,1,1
one,5406.4,1,2,0
onto,5055.01,2,0,0
open,3087.38,1,2,0
operation,5622.576666666667,3,0,0
option,4263.55,1,2,0
or,1734.1,1,2,0
order,8275.77,1,1,1
organization,7352.84,1,1,1
our,5319.63,1,2,0
out,7759.75,2,1,1
outside,6850.96,1,1,1
over,4662.275,2,0,0
own,5096.326666666667,3,0,0
owner,8660.330000000002,1,1,1
painting,5015.950000000001,2,0,0
parent,6000.735000000001,2,0,0
part,5227.49,2,0,0
past,6943.9400000000005,1,1,1
pattern,6323.469999999999,1,1,1
pay,6045.4,1,1,1
people,6967.37,1,1,1
per,3844.1,1,2,0
person,4675.33,1,2,0
phone,4730.756666666667,3,0,0
physical,4870.865,2,0,0
pick,4463.37,1,2,0
plan,6117.426666666666,3,0,0
plant,4549.84,2,0,0
play,5862.3,1,1,1
police,8540.34,1,1,1
policy,5592.379999999999,2,0,0
political,6533.576666666667,3,0,0
politics,4336.1,2,0,0
poor,6746.295,2,1,1
popular,6898.625,2,1,1
population,5140.1,2,0,0
position,5348.325000000001,2,0,0
possible,8893.71,1,1,1
power,3559.57,1,2,0
present,5317.02,2,0,0
president,7724.469999999999,1,1,1
pressure,6176.425,2,0,0
prevent,8279.41,1,1,1
price,6843.48,1,1,1
probably,8038.8150000000005,2,1,1
produce,3963.37,2,0,0
professional,5250.48,1,2,0
professor,4566.096666666667,3,0,0
project,6152.93,1,1,1
protect,6318.38,1,1,1
prove,7762.05,1,1,1
provide,6178.92,1,1,1
public,5101.82,1,2,0
purpose,3496.27,1,2,0
put,8810.32,1,1,1
quality,4550.81,1,2,0
quickly,1584.77,1,2,0
race,3940.94,1,2,0
radio,5642.295,2,0,0
raise,4240.49,1,2,0
range,3454.1000000000004,1,2,0
rate,4487.795,2,0,0
rather,8213.58,1,1,1
reach,3625.62,1,2,0
read,6275.983333333334,3,0,0
ready,6572.67,2,1,1
real,3466.3133333333335,3,0,0
realize,6012.92,1,1,1
really,3096.92,1,2,0
receive,8101.370000000001,1,1,1
recent,6550.843333333333,3,0,0
record,4373.54,1,2,0
region,5773.33,1,1,1
relationship,3452.08,1,2,0
religious,6427.785,2,0,0
remain,4972.455,2,0,0
remember,4283.219999999999,1,2,0
report,4683.51,1,2,0
represent,8483.07,1,1,1
resource,7656.945,4,0,0
rest,5367.34,1,2,0
return,8042.610000000001,1,1,1
reveal,6065.19,3,0,0
rich,6875.79,1,1,1
right,6466.015,2,0,0
rise,7401.639999999999,1,1,1
room,8857.65,1,1,1
rule,5534.88,1,1,1
same,6456.995000000001,2,0,0
say,5313.389999999999,1,2,0
score,2458.02,1,2,0
sea,4517.93,1,2,0
seat,9066.92,1,1,1
second,4090.9700000000003,2,0,0
section,5113.95,1,2,0
seek,6064.53,2,0,0
seem,8753.04,1,1,1
sell,5056.46,1,2,0
send,6231.58,2,0,0
series,5220.235,2,0,0
serve,7690.65,1,1,1
service,2183.21,1,2,0
set,4565.4,1,2,0
shake,5119.17,3,0,0
share,5668.4400000000005,1,1,1
she,5212.495,2,0,0
short,8306.395,2,1,1
shoulder,3957.7100000000005,3,0,0
show,4759.58,2,0,0
sign,6329.705,2,0,0
significant,3767.34,1,2,0
similar,3844.96,1,2,0
simple,7088.195,2,1,1
simply,7682.365,2,1,1
since,4942.19,1,2,0
single,4565.665,2,0,0
sister,5325.73,1,2,0
sit,6269.4800000000005,1,1,1
site,7111.3099999999995,2,1,1
situation,6112.570000000001,2,0,0
six,2450.09,2,2,0
skill,5817.41,1,1,1
skin,6921.393333333333,3,0,0
small,6381.55,1,1,1
smile,4812.52,1,2,0
so,3609.2,1,2,0
social,6026.02,1,1,1
soldier,8121.349999999999,1,1,1
somebody,3697.34,1,2,0
someone,3799.11,2,2,0
sometimes,4507.343333333333,3,0,0
son,7974.25,1,1,1
soon,5613.423333333333,3,0,0
sound,6881.74,2,1,1
southern,5419.2266666666665,3,0,0
specific,4809.23,1,2,0
speech,5832.93,2,0,0
spend,6968.530000000001,1,1,1
staff,3589.7200000000003,1,2,0
stage,2808.3599999999997,2,2,0
standard,4510.92,1,2,0
star,6408.05,1,1,1
station,8439.93,1,1,1
stay,4651.68,1,2,0
still,8437.69,1,1,1
stock,7157.5,2,1,1
stop,7700.459999999999,2,1,1
store,5023.7,1,2,0
story,8355.26,1,1,1
strategy,7274.29,1,1,1
structure,2927.3650000000002,2,2,0
style,5940.04,1,1,1
subject,5966.97,1,1,1
success,6645.994999999999,2,1,1
successful,4546.74,1,2,0
suddenly,3536.28,1,2,0
suffer,3070.66,1,2,0
summer,4154.64,2,0,0
sure,6977.055,2,1,1
table,5619.889999999999,2,0,0
talk,6092.52,1,1,1
teach,5840.28,3,0,0
teacher,3236.74,1,2,0
team,3588.15,1,2,0
television,5349.33,3,0,0
tell,4371.13,1,2,0
ten,5489.165,2,0,0
tend,6347.69,3,0,0
thank,3632.81,2,2,0
that,3644.15,2,2,0
their,4490.1849999999995,4,0,0
themselves,6005.03,1,1,1
there,6465.015,2,0,0
these,5731.49,2,0,0
thing,5896.485,2,0,0
think,6071.97,1,1,1
this,5093.82,1,2,0
those,6474.29,4,0,0
three,5321.87,1,2,0
through,5019.02,1,2,0
throughout,5570.330000000001,3,0,0
throw,3728.29,1,2,0
thus,6050.21,2,0,0
today,4774.94,3,0,0
together,4549.139999999999,2,0,0
tonight,3920.38,1,2,0
too,5782.336666666666,3,0,0
top,8570.71,1,1,1
total,6533.62,1,1,1
tough,3450.5,1,2,0
toward,4821.0,1,2,0
town,5529.32,1,1,1
trade,7637.32,2,1,1
traditional,2842.27,1,2,0
training,5088.27,1,2,0
treat,4626.61,2,0,0
treatment,5405.13,1,2,0
trial,8839.14,1,1,1
trip,2949.06,1,2,0
trouble,4217.785,2,0,0
true,4849.58,2,0,0
truth,4456.733333333334,3,0,0
try,5916.759999999999,1,1,1
turn,5922.04,1,1,1
two,3833.61,3,0,0
type,3550.763333333333,3,0,0
under,6077.53,3,0,0
unit,3557.88,1,2,0
until,4770.25,2,0,0
up,6203.83,2,0,0
us,4464.965,2,0,0
use,5524.900000000001,3,0,0
usually,6424.29,1,1,1
value,5535.57,1,1,1
very,2557.98,1,2,0
visit,3861.41,3,0,0
voice,2978.6,2,2,0
want,6279.04,1,1,1
war,5318.02,3,0,0
watch,3765.38,2,2,0
we,7017.99,2,1,1
wear,7059.740000000001,3,0,0
weight,3808.87,1,2,0
west,6414.345,2,0,0
western,4647.306666666667,3,0,0
what,5529.115,2,0,0
whatever,2617.92,1,2,0
where,4652.780000000001,2,0,0
whether,5910.435,2,0,0
white,3193.7000000000003,1,2,0
who,2368.14,1,2,0
whole,4007.94,1,2,0
whom,7198.265,2,1,1
why,6963.7300000000005,2,1,1
wide,4743.3133333333335,3,0,0
will,7651.380000000001,1,1,1
woman,1507.69,1,2,0
wonder,6401.31,1,1,1
worker,5090.276666666668,3,0,0
world,8071.35,1,1,1
worry,6898.820000000001,2,1,1
write,4110.07,1,2,0
writer,6797.155000000001,2,1,1
wrong,6694.610000000001,2,1,1
yard,5341.9875,4,0,0
yeah,5041.006666666667,3,0,0
yes,4987.2,1,2,0
yet,5367.77,2,0,0
young,7708.179999999999,1,1,1
yourself,8094.58,1,1,1
